School Code,RC Code,School Name,FY27 OI Score
1010,101612,Boston Latin School,0.221
1020,101615,Boston Latin Academy,0.329
1030,101618,O'Bryant School of Math & Science,0.312
1040,101624,Brighton High School,0.623
1050,101630,Charlestown High School,0.591
1053,101667,Margarita Muniz Academy,0.652
1070,101641,East Boston High School,0.471
1080,101644,English High School,0.642
1103,101656,Community Academy of Science and Health,0.707
1120,101627,Albert Holland School of Technology,0.643
1162,101671,Excel High School,0.59
1171,101647,Lyon High School,0.483
1194,101609,Ruth Batson Academy,0.659
1200,101633,Snowden International High School,0.559
1210,101657,Madison Park Technical Vocational High School,0.649
1215,101650,Boston Adult Tech Academy,0.724
1230,101605,Another Course to College,0.585
1260,101516,Dearborn STEM Academy,0.637
1265,101646,Fenway High School,0.5
1285,101664,New Mission High School,0.461
1290,101079,Melvin H. King South End Academy (Combined),0.858
1311,101684,Boston Collaborative High School,0.68
1340,101603,Community Academy,0.793
1410,101638,Boston Day-Evening Academy,0.629
1420,101607,Boston Arts Academy,0.44
1430,101632,Greater Egleston High School,0.679
1440,101648,Kennedy Academy for Health Careers (Gr 12),0.552
1450,101551,Quincy Upper School,0.395
1460,101674,TechBoston Academy,0.645
1470,101645,Boston Green Academy,0.505
1990,101649,Boston International High School,0.682
1991,101190,Newcomers Academy,0.745
2360,101511,Frederick Pilot Middle School,
4022,101390,Perkins Elementary School,0.629
4030,101219,Beethoven Elementary School,0.385
4033,101326,Kilmer K-8 School (4-8),0.315
4052,101438,Winthrop Elementary School,0.694
4053,101301,Hernandez Elementary School,0.502
4055,101534,King Elementary School,0.734
4061,101290,Guild Elementary School,0.412
4062,101229,Bradley Elementary School,0.402
4070,101247,Chittick Elementary School,0.469
4080,101253,Conley Elementary School,0.388
4081,101217,Bates Elementary School,0.332
4082,101364,Mozart Elementary School,0.276
4084,101309,Holmes Elementary School,0.643
4100,101257,Dever Elementary School,0.659
4113,101292,Hale Elementary School,0.689
4121,101346,Mason Elementary School,0.696
4123,101258,Dudley Street Neighborhood School,0.682
4130,101286,Greenwood Sarah K-8 School,0.652
4140,101267,Everett Elementary School,0.557
4151,101422,Shaw-Taylor Elementary School (2-6),0.587
4160,101279,Gardner Pilot Academy,0.386
4171,101339,Lyon Elementary School,0.46
4173,101436,Winship Elementary School,0.355
4178,101519,Edison Elementary School,0.425
4192,101404,Roosevelt K-8 School (2-8),0.349
4200,101288,Grew Elementary School,0.367
4201,101239,Channing Elementary School,0.381
4210,101293,Haley Pilot School,0.5
4230,101299,Hennigan Elementary School,0.651
4231,101435,West Zone Early Learning Center,
4240,101262,Ellis Elementary School,0.724
4241,101303,Higginson Inclusion K0-2 School,0.707
4242,101540,Higginson-Lewis K-8 School,0.719
4250,101307,UP Academy Holland,0.665
4260,101310,Hurley K-8 School,0.607
4261,101165,Carter School,0.811
4270,101318,Kennedy John F Elementary School,0.574
4272,101256,Curley K-8 School,0.41
4280,101324,Harvard-Kent Elementary School,0.224
4283,101434,Warren-Prescott K-8 School,0.162
4290,101328,Lee K-8 School,0.633
4291,101329,Lee Academy,0.619
4311,101342,Manning Elementary School,0.166
4321,101206,Alighieri Dante Montessori School,0.367
4322,101382,Otis Elementary School,0.372
4323,101504,Mario Umana Academy,0.442
4331,101335,Lyndon K-8 School,0.228
4345,101343,UP Academy Dorchester,0.624
4350,101348,Mather Elementary School,0.567
4360,101352,McKay K-8 School,0.395
4361,101203,Adams Elementary School,0.361
4370,101356,Mendell Elementary School,0.524
4381,101261,Eliot K-8 Innovation School,0.198
4390,101322,Kenny Elementary School,0.475
4391,101373,Henderson K-12 Inclusion School Lower,0.586
4400,101366,Murphy K-8 School,0.491
4410,101376,Ohrenberger School (3-8),0.488
4440,101209,Ellison-Parks Early Education School,0.525
4450,101355,East Boston Early Education Center,0.345
4460,101401,Haynes Early Education Center,0.727
4530,101406,Russell Elementary School,0.619
4531,101249,Clap Elementary School,0.611
4541,101320,Kennedy Patrick J Elementary School,0.39
4543,101370,O'Donnell Elementary School,0.403
4560,101420,Sumner Elementary School,
4561,101394,Philbrick Elementary School,
4563,101420,Roberts Elementary,0.355
4570,101426,Tobin K-8 School,0.695
4580,101428,Trotter Elementary School,0.696
4590,101432,Tynan Elementary School,0.612
4592,101392,Perry Elementary School,0.234
4600,101433,Young Achievers Elementary School,0.625
4610,101064,Horace Mann School for the Deaf Hard of Hearing,0.622
4621,101367,Baldwin Early Learning Pilot Academy,0.455
4630,101251,Condon K-8 School,0.655
4640,101223,Blackstone Elementary School,0.659
4650,101398,Quincy Elementary School,0.444
4661,101266,Boston Teachers Union Elementary Pilot School,0.411
4671,101548,Mildred Avenue K-8 School,0.618
4680,101377,Orchard Gardens K-8 School,0.661
4691,101351,Mattahunt Elementary School,0.524
