PROVIDER_NUMBER,PROGRAM_NAME,PROGRAM_UMBRELLA,PROGRAM_STREET_ADDRESS1,PROGRAM_STREET_ADDRESS2,PROGRAM_CITY,PROGRAM_ZIPCODE,PROGRAM_PHONE,LICENSING_REGION,SUBSIDY_REGION,PROGRAM_TYPE,LICENSED_FUNDED,LICENSED_PROVIDER_STATUS,FUNDED_PROVIDER_STATUS,REGULATORY_STATUS,FIRST_ISSUED_DATE,LICENSED_CAPACITY,INFANT_BIRTH15MO,INFANTTODDLER_BIRTH33MO,TODDLER_15MO33MO,TODDLERPRESCHOOL_15MOK,PRESCHOOL_33MOK,PRESCHOOLSA_33MO8YR,KINDERGARTEN,KINDERGARTEN_SCHOOLAGE,SCHOOLAGE_5YR14YR,MULTIAGEGROUP_BIRTH14YR,VOUCHER_CONTRACT,C3_ATTESTATION,COI_CAT,SNAPSHOT_DATE,FULL_ADDRESS,Latitude,Longitude,SERVES_PREK,SERVES_ELEM,SERVES_MIDDLE,QUALITY_LICENSED,QUALITY_VOUCHER,QUALITY_C3,BAND_LABEL,CAP_CAT
P-169592,Grove Hall Child Development Center,"Grove Hall Child Development Center, Inc.",1295 BLUE HILL AVE,,Mattapan,02126,(617) 298-8190,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1988-01-19,45,7.0,9.0,9.0,,20.0,,,,,,True,,Low,2026-03-03,"1295 BLUE HILL AVE, Mattapan, MA 02126",42.280897078101,-71.092745156237,True,False,False,True,True,False,Pre-K only,M
P-169700,Soldiers Field Park Children's Center,Campus Child Care Inc.,1 SOLDIERS FIELD PARK,,Boston,02163,(617) 870-7601,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1981-10-07,84,14.0,7.0,27.0,,36.0,,,,,,True,,Low,2026-03-03,"1 SOLDIERS FIELD PARK, Boston, MA 02163",42.36577068921,-71.1181520109,True,False,False,True,True,False,Pre-K only,L
P-169703,Allston Brighton St. Gabriel's Head Start,"Action For Boston Community Development, Inc./ABCD",478 Western Avenue,,Brighton,02135,(617) 783-5646,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1985-07-07,76,,16.0,,,60.0,,,,,,True,,Low,2026-03-03,"478 Western Avenue, Brighton, MA 02135",42.361959148532,-71.142927974393,True,False,False,True,True,False,Pre-K only,M
P-169705,Beacon Hill Nursery School,"Beacon Hill Nursery School, Inc.",74 JOY STREET,,Boston,02114,(617) 227-0822,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1987-08-22,99,,,9.0,,90.0,,,,,,False,,High,2026-03-03,"74 JOY STREET, Boston, MA 02114",42.360650585361,-71.065199810306,True,False,False,True,False,False,Pre-K only,L
P-169706,Boston Children's School,"Boston Children's School, Inc.",8 WHITTIER PLACE 1E,,Boston,02114,(617) 367-6239,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1980-06-18,44,,,,,,44.0,,,,,False,,Moderate,2026-03-03,"8 WHITTIER PLACE 1E, Boston, MA 02114",42.365647883734,-71.067406172702,True,True,False,False,False,False,Pre-K and Elementary,M
P-169707,Acorn Center for Early Education /Care,Boston Chinatown Neighborhood Center,38 ASH STREET,,Boston,02111,(617) 249-2995,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1988-06-26,101,,,9.0,,92.0,,,,,,True,,Low,2026-03-03,"38 ASH STREET, Boston, MA 02111",42.348694709374,-71.063415575337,True,False,False,True,True,False,Pre-K only,L
P-169709,Cooper Community Child Development Center,Hattie B. Cooper Community Center Inc.,1891 WASHINGTON STREET,,Boston,02118,(617) 445-1813,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1991-08-06,111,7.0,,18.0,,40.0,,20.0,,26.0,,True,,Very Low,2026-03-03,"1891 WASHINGTON STREET, Boston, MA 02118",42.335061134844,-71.078936432073,True,True,True,False,True,False,Elementary and Middle,L
P-169712,Infants and Other People,"Infants and Other People, Inc.",464 TREMONT STREET,,Boston,02116,(617) 482-9464,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1994-12-11,52,14.0,,18.0,,20.0,,,,,,True,,Low,2026-03-03,"464 TREMONT STREET, Boston, MA 02116",42.346185290618,-71.069259982712,True,False,False,False,True,False,Pre-K only,M
P-169713,Longwood Medical Area Child Care Center,Longwood Medical Area Child Care Center Corporation,395 LONGWOOD AVENUE,,Boston,02215,(617) 632-2755,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1984-01-09,88,14.0,9.0,,27.0,38.0,,,,,,True,,Moderate,2026-03-03,"395 LONGWOOD AVENUE, Boston, MA 02215",42.340139378777,-71.109263905574,True,False,False,True,True,False,Pre-K only,L
P-169714,ABCD Head Start and Children's Services @ Harrison Ave.,"Action For Boston Community Development, Inc./ABCD",595 Harrison Avenue,,Boston,02118,(617) 426-2855,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1990-04-07,200,,32.0,,,168.0,,,,,,True,,Low,2026-03-03,"595 Harrison Avenue, Boston, MA 02118",42.339872767504,-71.069100903554,True,False,False,True,True,False,Pre-K only,XL
P-169715,Russell J. Call Children's Center,Northeastern University,96 Fenway,Kerr Hall.   Ward 04,Boston,02115,(617) 373-3929,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1987-12-20,34,,,,,34.0,,,,,,False,,Very Low,2026-03-03,"96 Fenway, Boston, MA 02115",42.342184868669,-71.091491564081,True,False,False,True,False,False,Pre-K only,S
