SCHID,NAME,RC_CODE,School Name:,Organization Name:,Program Name:,Time,OST_CATEGORY,Grades Served:,PROG_PREK,PROG_ELEM,PROG_MIDDLE,SCHOOL_PREK,SCHOOL_ELEM,SCHOOL_MIDDLE,Program Areas:,Days of Operation:,Student Fees?,Service Capacity
00350010,Haynes Early Education Center,101401,Haynes Early Education Center,4Star Dance Studio,4Star Dance Program,,NaN_INFERRED_OST,"'K2','1'",True,True,False,True,True,False,'Arts Programming',"'Tuesday','Friday'",No,200.0
00350525,Albert D Holland School of Technology,101627,Albert D. Holland Highschool of Technology,826 Boston,Writers’ Rooms,"School Day, Afterschool",CONFIRMED_OST,"'7','8','9','10','11','12'",False,False,True,False,False,True,"'Academic Support & Enrichment','Arts Programming'","'Monday','Tuesday','Wednesday','Thursday'",No,750.0
00350507,Boston International High School & Newcomers Academy,101649,Boston International Newcomers Academy,826 Boston,Writers’ Rooms,"School Day, Afterschool",CONFIRMED_OST,"'9','10','11','12'",False,False,False,False,False,False,"'Academic Support & Enrichment','Arts Programming'","'Monday','Tuesday','Wednesday','Thursday'",No,500.0
00350012,Boston Teachers Union Elementary Pilot School,101266,Boston Teachers Union K-8 School,826 Boston,Writers’ Rooms,"School Day, Afterschool",CONFIRMED_OST,"'K1','K2','1','2','3','4','5','6','7','8'",True,True,True,True,True,True,"'Academic Support & Enrichment','Arts Programming'","'Monday','Tuesday','Wednesday','Thursday'",No,500.0
00350549,Margarita Muniz Academy,101667,Margarita Muñiz Academy,826 Boston,Writers’ Rooms,"School Day, Afterschool",CONFIRMED_OST,"'7','8','9','10','11','12'",False,False,True,False,False,True,"'Academic Support & Enrichment','Arts Programming'","'Monday','Tuesday','Wednesday','Thursday'",No,750.0
00350542,New Mission High School,101664,New Mission High School,826 Boston,Writers’ Rooms,"School Day, Afterschool",CONFIRMED_OST,"'7','8','9','10','11','12'",False,False,True,False,False,True,"'Academic Support & Enrichment','Arts Programming'","'Monday','Tuesday','Wednesday','Thursday'",No,750.0
00350575,O'Bryant School of Math & Science,101618,O'Bryant School of Mathematics and Science,826 Boston,Writers’ Rooms,"School Day, Afterschool",CONFIRMED_OST,"'7','8','9','10','11','12'",False,False,True,False,False,True,"'Academic Support & Enrichment','Arts Programming'","'Monday','Tuesday','Wednesday','Thursday'",No,750.0
00350227,Mather Elementary School,101348,Mather Elementary School,Academy of Dance and Choreography,Dance with Books,Afterschool,CONFIRMED_OST,"'K0','K1','K2','1','2'",True,True,False,True,True,True,'Arts Programming','Friday',Yes,10.0
00350377,Higginson/Lewis K-8 School,101540,Higginson/Lewis 3-8 School,Boston Debate League,Resolved,,NaN_INFERRED_OST,,False,False,False,False,True,True,"'Academic Support & Enrichment','Social, Emotional & Behavioral Health'",,No,
00350581,Community Academy of Science and Health,101656,Community Academy of Science and Health,Boston Debate League,Resolved,,NaN_INFERRED_OST,,False,False,False,False,False,False,"'Academic Support & Enrichment','Social, Emotional & Behavioral Health'",,No,
00350229,Tobin K-8 School,101426,Tobin K-8 School,Boston Debate League,Resolved,,NaN_INFERRED_OST,"'6','7','8'",False,False,True,True,True,True,"'Academic Support & Enrichment','Social, Emotional & Behavioral Health'","'Monday','Tuesday','Wednesday','Thursday','Friday'",No,25.0
00350505,Brighton High School,101624,Brighton High School,Boston Debate League,Resolved,,NaN_INFERRED_OST,"'7','8','9','10','11','12'",False,False,True,False,False,True,"'Academic Support & Enrichment','Social, Emotional & Behavioral Health'","'Monday','Tuesday','Wednesday','Thursday','Friday'",No,25.0
00350004,Lyon Elementary School,101339,Lyon K-8 School,Boston Debate League,After-School Debate League,"Afterschool, Weekend",CONFIRMED_OST,,False,False,False,False,True,True,'Academic Support & Enrichment',,No,
00350655,Lyon High School,101647,Mary Lyon Pilot High School,Boston Debate League,After-School Debate League,"Afterschool, Weekend",CONFIRMED_OST,,False,False,False,False,False,False,'Academic Support & Enrichment',,No,
00350558,Ruth Batson Academy,101609,Ruth Batson Academy,Boston Debate League,After-School Debate League,"Afterschool, Weekend",CONFIRMED_OST,,False,False,False,False,False,True,'Academic Support & Enrichment',,No,
00350542,New Mission High School,101664,New Mission High School,Boston Debate League,After-School Debate League,"Afterschool, Weekend",CONFIRMED_OST,,False,False,False,False,False,True,'Academic Support & Enrichment',,No,
