SCHID,OST_TOTAL_CNT,OST_PREK_CNT,OST_ELEM_CNT,OST_MIDDLE_CNT
00350004,1,0,0,0
00350008,1,1,1,0
00350010,3,3,3,0
00350012,3,2,3,1
00350014,1,0,1,1
00350016,5,5,5,4
00350017,2,0,2,1
00350020,2,0,1,1
00350062,1,0,1,1
00350072,2,0,2,1
00350074,5,0,0,1
00350077,2,1,2,1
00350080,4,2,3,3
00350096,2,0,1,1
00350100,2,1,2,0
00350135,2,1,2,0
00350138,2,1,2,1
00350141,1,0,1,1
00350153,2,0,2,2
00350154,2,1,2,1
00350166,2,1,2,0
00350180,2,1,2,0
00350182,5,2,4,4
00350183,1,0,1,0
00350190,1,1,1,0
00350200,1,0,1,1
00350215,1,0,1,1
00350227,2,1,2,1
00350229,3,1,1,2
00350237,1,1,1,0
00350240,2,1,1,1
00350255,1,1,1,1
00350257,2,1,2,1
00350262,2,1,1,0
00350264,2,1,2,2
00350266,1,0,0,0
00350268,3,1,3,0
00350278,2,1,2,0
00350286,3,1,3,1
00350298,2,1,1,1
00350302,3,2,3,1
00350304,1,0,1,0
00350308,2,1,2,0
00350326,4,1,4,2
00350328,3,0,2,0
00350346,3,0,1,2
00350360,1,1,1,0
00350370,4,3,4,1
00350374,2,1,2,0
00350375,3,1,3,0
00350376,3,2,3,1
00350377,2,0,0,0
00350378,2,2,2,0
00350380,1,1,1,0
00350390,7,5,6,2
00350505,4,0,0,1
00350507,4,0,0,0
00350515,3,0,0,0
00350525,2,0,0,1
00350530,2,0,0,0
00350535,4,0,0,0
00350540,3,0,0,0
00350542,4,0,0,1
00350545,2,0,0,0
00350546,1,0,0,0
00350549,3,0,0,1
00350558,4,0,0,1
00350560,1,0,0,0
00350565,2,0,0,0
00350575,3,0,0,2
00350581,3,0,0,0
00350655,2,0,0,0
00350656,3,2,3,3
00350657,2,0,0,1
00350691,4,1,4,2
00350755,2,0,0,0
