SCHID,NAME,TOWN,NEED_SCORE,TOTAL_CNT,LI_PCT,OST_ELEM_CNT,EEC_ADJ_CAP_ELEM,EEC_RAW_CNT_ELEM,RANK_NEED_ELEM,RANK_OST_ELEM,RANK_EEC_ELEM,COMPOSITE_ELEM,GAP_RANK_ELEM,GAP_ELIGIBLE_ELEM,GAP_SEVERITY_ELEM,GAP_TIER_ELEM,BPS_OI_SCORE
00350426,Henderson K-12 Inclusion School Upper,BOSTON,494.285,605,81.7,0.0,21.666666666666668,2.0,6.0,1.0,17.0,24.0,1,77.0,0.987012987012987,High Concern,
00350146,Condon K-8 School,BOSTON,395.136,448,88.2,0.0,10.75,1.0,14.0,1.0,13.0,28.0,2,77.0,0.974025974025974,High Concern,0.655
00350116,Roosevelt K-8 School,BOSTON,254.82000000000002,372,68.5,0.0,0.0,0.0,28.0,1.0,1.0,30.0,3,77.0,0.961038961038961,High Concern,0.349
00350258,Ohrenberger School,BOSTON,331.134,458,72.3,0.0,26.0,1.0,21.0,1.0,19.0,41.0,4,77.0,0.948051948051948,High Concern,0.488
00350167,UP Academy Holland School,BOSTON,548.8720000000001,628,87.4,0.0,62.0,1.0,3.0,1.0,39.0,43.0,5,77.0,0.935064935064935,High Concern,0.665
00350020,Curley K-8 School,BOSTON,494.69,955,51.8,1.0,12.25,1.0,5.0,25.0,14.0,44.0,6,77.0,0.922077922077922,High Concern,0.41
00350229,Tobin K-8 School,BOSTON,313.11,355,88.2,1.0,0.0,0.0,25.0,25.0,1.0,51.0,7,77.0,0.9090909090909091,High Concern,0.695
00350021,Beethoven Elementary School,BOSTON,160.875,275,58.5,0.0,0.0,0.0,52.0,1.0,1.0,54.0,8,77.0,0.8961038961038961,High Concern,0.385
00350380,Young Achievers Elementary School,BOSTON,370.094,422,87.7,1.0,13.0,1.0,17.0,25.0,15.0,57.0,9,77.0,0.8831168831168831,High Concern,0.625
00350183,Lee K-8 School,BOSTON,492.954,582,84.7,1.0,46.16666666666667,2.0,7.0,25.0,28.0,60.0,10,77.0,0.8701298701298701,High Concern,0.633
00350266,Henderson K-12 Inclusion School Lower,BOSTON,128.02,185,69.2,0.0,0.0,0.0,62.0,1.0,1.0,64.0,11,77.0,0.8571428571428572,High Concern,0.586
00350231,Perkins Elementary School,BOSTON,175.071,201,87.1,0.0,28.083333333333332,2.0,49.0,1.0,20.0,70.0,12,77.0,0.8441558441558441,High Concern,0.629
