SCHID,NAME,TOWN,NEED_SCORE,TOTAL_CNT,LI_PCT,OST_MIDDLE_CNT,EEC_ADJ_CAP_MIDDLE,EEC_RAW_CNT_MIDDLE,RANK_NEED_MIDDLE,RANK_OST_MIDDLE,RANK_EEC_MIDDLE,COMPOSITE_MIDDLE,GAP_RANK_MIDDLE,GAP_ELIGIBLE_MIDDLE,GAP_SEVERITY_MIDDLE,GAP_TIER_MIDDLE,BPS_OI_SCORE
00350560,Boston Latin School,BOSTON,795.588,2382,33.4,0.0,0.0,0.0,4.0,1.0,1.0,6.0,1,81.0,0.9876543209876543,High Concern,0.221
00350535,English High School,BOSTON,549.173,653,84.1,0.0,0.0,0.0,8.0,1.0,1.0,10.0,2,81.0,0.9753086419753086,High Concern,0.642
00350530,East Boston High School,BOSTON,851.501,1181,72.1,0.0,20.433333333333334,2.0,2.0,1.0,21.0,24.0,3,81.0,0.9567901234567902,High Concern,0.471
00350515,Charlestown High School,BOSTON,507.756,646,78.6,0.0,9.75,1.0,11.0,1.0,12.0,24.0,3,81.0,0.9567901234567902,High Concern,0.591
00350545,Boston Latin Academy,BOSTON,826.155,1669,49.5,0.0,28.0,1.0,3.0,1.0,24.0,28.0,5,81.0,0.9382716049382716,High Concern,0.329
00350426,Henderson K-12 Inclusion School Upper,BOSTON,494.285,605,81.7,0.0,15.333333333333334,1.0,14.0,1.0,20.0,35.0,6,81.0,0.9259259259259259,High Concern,
00350116,Roosevelt K-8 School,BOSTON,254.82000000000002,372,68.5,0.0,0.0,0.0,40.0,1.0,1.0,42.0,7,81.0,0.9135802469135803,High Concern,0.349
00350268,Dever Elementary School,BOSTON,241.893,279,86.7,0.0,0.0,0.0,42.0,1.0,1.0,44.0,8,81.0,0.8950617283950617,High Concern,0.659
00350146,Condon K-8 School,BOSTON,395.136,448,88.2,0.0,10.75,1.0,27.0,1.0,16.0,44.0,8,81.0,0.8950617283950617,High Concern,0.655
00350380,Young Achievers Elementary School,BOSTON,370.094,422,87.7,0.0,13.0,1.0,30.0,1.0,18.0,49.0,10,81.0,0.8765432098765432,High Concern,0.625
