SCHID,NAME,TOWN,NEED_SCORE,TOTAL_CNT,LI_PCT,OST_PREK_CNT,EEC_ADJ_CAP_PREK,EEC_RAW_CNT_PREK,RANK_NEED_PREK,RANK_OST_PREK,RANK_EEC_PREK,COMPOSITE_PREK,GAP_RANK_PREK,GAP_ELIGIBLE_PREK,GAP_SEVERITY_PREK,GAP_TIER_PREK,BPS_OI_SCORE
00350183,Lee K-8 School,BOSTON,492.954,582,84.7,0.0,25.5,1.0,6.0,1.0,8.0,15.0,1,72.0,0.9861111111111112,High Concern,0.633
00350020,Curley K-8 School,BOSTON,494.69,955,51.8,0.0,40.25,3.0,5.0,1.0,16.0,22.0,2,72.0,0.9722222222222222,High Concern,0.41
00350116,Roosevelt K-8 School,BOSTON,254.82000000000002,372,68.5,0.0,35.0,1.0,26.0,1.0,13.0,40.0,3,72.0,0.9583333333333334,High Concern,0.349
00350328,Kenny Elementary School,BOSTON,184.90500000000003,315,58.7,0.0,0.0,0.0,40.0,1.0,1.0,42.0,4,72.0,0.9444444444444444,High Concern,0.475
00350146,Condon K-8 School,BOSTON,395.136,448,88.2,0.0,101.16666666666667,4.0,13.0,1.0,34.0,48.0,5,72.0,0.9305555555555556,High Concern,0.655
00350062,Guild Elementary School,BOSTON,182.00700000000003,243,74.9,0.0,30.0,1.0,41.0,1.0,9.0,51.0,6,72.0,0.9166666666666666,High Concern,0.412
00350001,Lee Academy,BOSTON,154.054,197,78.2,0.0,21.666666666666668,2.0,50.0,1.0,7.0,58.0,7,72.0,0.9027777777777778,High Concern,0.619
00350181,Tynan Elementary School,BOSTON,168.95000000000002,218,77.5,0.0,30.5,1.0,47.0,1.0,12.0,60.0,8,72.0,0.875,High Concern,0.612
00350346,Warren-Prescott K-8 School,BOSTON,180.06400000000002,544,33.1,0.0,45.75,3.0,42.0,1.0,17.0,60.0,8,72.0,0.875,High Concern,0.162
00350014,Shaw Elementary School,BOSTON,414.127,469,88.3,0.0,135.33333333333331,5.0,11.0,1.0,48.0,60.0,8,72.0,0.875,High Concern,0.587
00350215,Bradley Elementary School,BOSTON,153.10500000000002,295,51.9,0.0,30.0,1.0,51.0,1.0,9.0,61.0,11,72.0,0.8472222222222222,High Concern,0.402
00350304,Mason Elementary School,BOSTON,203.09,230,88.3,0.0,72.16666666666667,2.0,35.0,1.0,27.0,63.0,12,72.0,0.8263888888888888,High Concern,0.696
00350021,Beethoven Elementary School,BOSTON,160.875,275,58.5,0.0,37.0,1.0,48.0,1.0,14.0,63.0,12,72.0,0.8263888888888888,High Concern,0.385
00350167,UP Academy Holland School,BOSTON,548.8720000000001,628,87.4,0.0,252.0,4.0,3.0,1.0,60.0,64.0,14,72.0,0.8055555555555556,High Concern,0.665
00350231,Perkins Elementary School,BOSTON,175.071,201,87.1,0.0,47.83333333333333,3.0,45.0,1.0,19.0,65.0,15,72.0,0.7916666666666666,High Concern,0.629
