SCHID,School_Name,Town,School_Type,Grades,Total_Enrollment,Low_Income_Pct,Need_Score,OST_Partners_Total,Zero_OST_Partners,Serves_PreK,Serves_Elem,Serves_Middle,Gap_Rank_Pre-K,Gap_Tier_Pre-K,OST_Partners_Pre-K,EEC_Programs_Pre-K,Gap_Rank_Elementary,Gap_Tier_Elementary,OST_Partners_Elementary,EEC_Programs_Elementary,Gap_Rank_Middle,Gap_Tier_Middle,OST_Partners_Middle,EEC_Programs_Middle,Primary_Gap_Band,Primary_Gap_Tier,Primary_Gap_Label,BPS_OI_Score
00350560,Boston Latin School,BOSTON,Public Secondary,"07,08,09,10,11,12",2382,33.4,795.6,1,No,No,No,Yes,,N/A,,,,N/A,,,1,High Concern,0,0,MIDDLE,High Concern,Ranked 1 of 81 Middle schools (High Concern),0.221
00350426,Henderson K-12 Inclusion School Upper,BOSTON,Public Middle,"02,03,04,05,06,07,08,09,10,11,12",605,81.7,494.3,0,Yes,No,Yes,Yes,,N/A,,,1,High Concern,0,2,6,High Concern,0,1,ELEM,High Concern,Ranked 1 of 77 Elementary schools (High Concern),
00350183,Lee K-8 School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06,07,08",582,84.7,493.0,1,No,Yes,Yes,Yes,1,High Concern,0,1,10,High Concern,1,2,11,High Concern,0,2,PREK,High Concern,Ranked 1 of 72 Pre-K schools (High Concern),0.633
00350146,Condon K-8 School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06,07,08",448,88.2,395.1,0,Yes,Yes,Yes,Yes,5,High Concern,0,4,2,High Concern,0,1,8,High Concern,0,1,ELEM,High Concern,Ranked 2 of 77 Elementary schools (High Concern),0.655
00350020,Curley K-8 School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06,07,08",955,51.8,494.7,2,No,Yes,Yes,Yes,2,High Concern,0,3,6,High Concern,1,1,18,High Concern,1,1,PREK,High Concern,Ranked 2 of 72 Pre-K schools (High Concern),0.41
00350535,English High School,BOSTON,Public Secondary,"07,08,09,10,11,12",653,84.1,549.2,4,No,No,No,Yes,,N/A,,,,N/A,,,2,High Concern,0,0,MIDDLE,High Concern,Ranked 2 of 81 Middle schools (High Concern),0.642
00350515,Charlestown High School,BOSTON,Public Secondary,"07,08,09,10,11,12",646,78.6,507.8,3,No,No,No,Yes,,N/A,,,,N/A,,,3,High Concern,0,1,MIDDLE,High Concern,Ranked 3 of 81 Middle schools (High Concern),0.591
00350530,East Boston High School,BOSTON,Public Secondary,"07,08,09,10,11,12",1181,72.1,851.5,2,No,No,No,Yes,,N/A,,,,N/A,,,3,High Concern,0,2,MIDDLE,High Concern,Ranked 3 of 81 Middle schools (High Concern),0.471
00350116,Roosevelt K-8 School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06,07,08",372,68.5,254.8,0,Yes,Yes,Yes,Yes,3,High Concern,0,1,3,High Concern,0,0,7,High Concern,0,0,ELEM,High Concern,Ranked 3 of 77 Elementary schools (High Concern),0.349
00350328,Kenny Elementary School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06",315,58.7,184.9,3,No,Yes,Yes,Yes,4,High Concern,0,0,23,Moderate-High Concern,2,0,12,High Concern,0,0,PREK,High Concern,Ranked 4 of 72 Pre-K schools (High Concern),0.475
00350258,Ohrenberger School,BOSTON,Public Elementary,"03,04,05,06,07,08",458,72.3,331.1,0,Yes,No,Yes,Yes,,N/A,,,4,High Concern,0,1,12,High Concern,0,1,ELEM,High Concern,Ranked 4 of 77 Elementary schools (High Concern),0.488
00350545,Boston Latin Academy,BOSTON,Public Secondary,"07,08,09,10,11,12",1669,49.5,826.2,2,No,No,No,Yes,,N/A,,,,N/A,,,5,High Concern,0,1,MIDDLE,High Concern,Ranked 5 of 81 Middle schools (High Concern),0.329
00350167,UP Academy Holland School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06",628,87.4,548.9,0,Yes,Yes,Yes,Yes,14,High Concern,0,4,5,High Concern,0,1,12,High Concern,0,1,ELEM,High Concern,Ranked 5 of 77 Elementary schools (High Concern),0.665
00350062,Guild Elementary School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06",243,74.9,182.0,1,No,Yes,Yes,Yes,6,High Concern,0,1,25,Moderate-High Concern,1,1,47,Moderate Concern,1,1,PREK,High Concern,Ranked 6 of 72 Pre-K schools (High Concern),0.412
00350229,Tobin K-8 School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06,07,08",355,88.2,313.1,3,No,Yes,Yes,Yes,40,Moderate-High Concern,1,5,7,High Concern,1,0,39,Moderate-High Concern,2,0,ELEM,High Concern,Ranked 7 of 77 Elementary schools (High Concern),0.695
00350001,Lee Academy,BOSTON,Public Elementary,"PK,K,01,02,03",197,78.2,154.1,0,Yes,Yes,Yes,No,7,High Concern,0,2,13,High Concern,0,2,,N/A,,,PREK,High Concern,Ranked 7 of 72 Pre-K schools (High Concern),0.619
00350014,Shaw Elementary School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06",469,88.3,414.1,1,No,Yes,Yes,Yes,8,High Concern,0,5,37,Moderate-High Concern,1,4,57,Moderate Concern,1,3,PREK,High Concern,Ranked 8 of 72 Pre-K schools (High Concern),0.587
