Gap_Rank,SCHID,School_Name,Town,School_Type,Grades,Enrollment_Elementary,Total_Enrollment,Low_Income_Pct,Low_Income_Cnt,Need_Score,Rank_Need,OST_Partners_Elementary,Rank_OST_Partners,EEC_Programs_In_Isochrone,EEC_Adj_Capacity,Rank_EEC_Capacity,Composite_Score,Gap_Tier,Eligible_Schools,Zero_EEC_Coverage,Zero_OST_Partners,BPS_OI_Score
1,00350426,Henderson K-12 Inclusion School Upper,BOSTON,Public Middle,"02,03,04,05,06,07,08,09,10,11,12",219,605,81.7,494,494.3,6,0,1,2,21.7,17,24,High Concern,77,No,Yes,
2,00350146,Condon K-8 School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06,07,08",252,448,88.2,395,395.1,14,0,1,1,10.8,13,28,High Concern,77,No,Yes,0.655
3,00350116,Roosevelt K-8 School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06,07,08",211,372,68.5,255,254.8,28,0,1,0,0.0,1,30,High Concern,77,Yes,Yes,0.349
4,00350258,Ohrenberger School,BOSTON,Public Elementary,"03,04,05,06,07,08",238,458,72.3,331,331.1,21,0,1,1,26.0,19,41,High Concern,77,No,Yes,0.488
5,00350167,UP Academy Holland School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06",476,628,87.4,549,548.9,3,0,1,1,62.0,39,43,High Concern,77,No,Yes,0.665
6,00350020,Curley K-8 School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06,07,08",596,955,51.8,495,494.7,5,1,25,1,12.2,14,44,High Concern,77,No,No,0.41
7,00350229,Tobin K-8 School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06,07,08",218,355,88.2,313,313.1,25,1,25,0,0.0,1,51,High Concern,77,Yes,No,0.695
8,00350021,Beethoven Elementary School,BOSTON,Public Elementary,"PK,K,01,02",243,275,58.5,161,160.9,52,0,1,0,0.0,1,54,High Concern,77,Yes,Yes,0.385
9,00350380,Young Achievers Elementary School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06,07,08",292,422,87.7,370,370.1,17,1,25,1,13.0,15,57,High Concern,77,No,No,0.625
10,00350183,Lee K-8 School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06,07,08",346,582,84.7,493,493.0,7,1,25,2,46.2,28,60,High Concern,77,No,No,0.633
11,00350266,Henderson K-12 Inclusion School Lower,BOSTON,Public Elementary,"PK,K,01",120,185,69.2,128,128.0,62,0,1,0,0.0,1,64,High Concern,77,Yes,No,0.586
12,00350231,Perkins Elementary School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06",171,201,87.1,175,175.1,49,0,1,2,28.1,20,70,High Concern,77,No,Yes,0.629
13,00350001,Lee Academy,BOSTON,Public Elementary,"PK,K,01,02,03",139,197,78.2,154,154.1,54,0,1,2,21.7,17,72,High Concern,77,No,Yes,0.619
14,00350181,Tynan Elementary School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06",171,218,77.5,169,169.0,51,0,1,1,30.5,21,73,High Concern,77,No,Yes,0.612
15,00350003,Baldwin Early Learning Pilot Academy,BOSTON,Public Elementary,"PK,K,01",69,151,43.0,65,64.9,73,0,1,0,0.0,1,75,High Concern,77,Yes,Yes,0.455
16,00350184,Manning Elementary School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06",121,150,23.3,35,35.0,77,0,1,0,0.0,1,79,High Concern,77,Yes,Yes,0.166
17,00350346,Warren-Prescott K-8 School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06,07,08",395,544,33.1,180,180.1,46,1,25,1,9.8,11,82,High Concern,77,No,No,0.162
