Gap_Rank,SCHID,School_Name,Town,School_Type,Grades,Enrollment_Pre-K,Total_Enrollment,Low_Income_Pct,Low_Income_Cnt,Need_Score,Rank_Need,OST_Partners_Pre-K,Rank_OST_Partners,EEC_Programs_In_Isochrone,EEC_Adj_Capacity,Rank_EEC_Capacity,Composite_Score,Gap_Tier,Eligible_Schools,Zero_EEC_Coverage,Zero_OST_Partners,BPS_OI_Score
1,00350183,Lee K-8 School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06,07,08",58,582,84.7,493,493.0,6,0,1,1,25.5,8,15,High Concern,72,No,No,0.633
2,00350020,Curley K-8 School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06,07,08",87,955,51.8,495,494.7,5,0,1,3,40.2,16,22,High Concern,72,No,No,0.41
3,00350116,Roosevelt K-8 School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06,07,08",38,372,68.5,255,254.8,26,0,1,1,35.0,13,40,High Concern,72,No,Yes,0.349
4,00350328,Kenny Elementary School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06",24,315,58.7,185,184.9,40,0,1,0,0.0,1,42,High Concern,72,Yes,No,0.475
5,00350146,Condon K-8 School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06,07,08",38,448,88.2,395,395.1,13,0,1,4,101.2,34,48,High Concern,72,No,Yes,0.655
6,00350062,Guild Elementary School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06",24,243,74.9,182,182.0,41,0,1,1,30.0,9,51,High Concern,72,No,No,0.412
7,00350001,Lee Academy,BOSTON,Public Elementary,"PK,K,01,02,03",58,197,78.2,154,154.1,50,0,1,2,21.7,7,58,High Concern,72,No,Yes,0.619
8,00350181,Tynan Elementary School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06",29,218,77.5,169,169.0,47,0,1,1,30.5,12,60,High Concern,72,No,Yes,0.612
8,00350346,Warren-Prescott K-8 School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06,07,08",66,544,33.1,180,180.1,42,0,1,3,45.8,17,60,High Concern,72,No,No,0.162
8,00350014,Shaw Elementary School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06",43,469,88.3,414,414.1,11,0,1,5,135.3,48,60,High Concern,72,No,No,0.587
11,00350215,Bradley Elementary School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06",30,295,51.9,153,153.1,51,0,1,1,30.0,9,61,High Concern,72,No,No,0.402
12,00350304,Mason Elementary School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05",25,230,88.3,203,203.1,35,0,1,2,72.2,27,63,High Concern,72,No,No,0.696
12,00350021,Beethoven Elementary School,BOSTON,Public Elementary,"PK,K,01,02",32,275,58.5,161,160.9,48,0,1,1,37.0,14,63,High Concern,72,No,Yes,0.385
14,00350167,UP Academy Holland School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06",54,628,87.4,549,548.9,3,0,1,4,252.0,60,64,High Concern,72,No,Yes,0.665
15,00350231,Perkins Elementary School,BOSTON,Public Elementary,"PK,K,01,02,03,04,05,06",6,201,87.1,175,175.1,45,0,1,3,47.8,19,65,High Concern,72,No,Yes,0.629
